MoveReg  Version 3.01
Execution at 11:39, 28-JUN-2019
series: varName                 
series begins: 2012 week: 26
series ends:   2019 week: 22
output file: results.out         

wk  year          sa   safactor        obs    outlier
 0     0      13963.     0.9986     13943.     1.0000
 0     0      13972.     1.0009     13985.     1.0000
 0     0      13985.     1.0020     14013.     1.0000
 0     0      14003.     1.0027     14041.     1.0000
 0     0      14017.     1.0037     14069.     1.0000
 0     0      14029.     1.0049     14097.     1.0000
 0     0      14054.     1.0051     14125.     1.0000
 0     0      14068.     1.0061     14154.     1.0000
 0     0      14087.     1.0057     14168.     1.0000
 0     0      14113.     1.0059     14196.     1.0000
 0     0      14128.     1.0058     14210.     1.0000
 0     0      14146.     1.0056     14225.     1.0000
 0     0      14160.     1.0056     14239.     1.0000
 0     0      14175.     1.0055     14253.     1.0000
 0     0      14194.     1.0052     14267.     1.0000
 0     0      14217.     1.0055     14296.     1.0000
 0     0      14233.     1.0054     14310.     1.0000
 0     0      14260.     1.0056     14339.     1.0000
 0     0      14278.     1.0052     14353.     1.0000
 0     0      14293.     1.0052     14367.     1.0000
 0     0      14313.     1.0048     14382.     1.0000
 0     0      14333.     1.0044     14396.     1.0000
 0     0      14345.     1.0036     14396.     1.0000
 0     0      14370.     1.0028     14411.     1.0000
 0     0      14386.     1.0027     14425.     1.0000
 0     0      14412.     1.0019     14439.     1.0000
 0     0      14429.     1.0047     14497.     1.0000
 0     0      14449.     1.0043     14512.     1.0000
 0     0      14466.     1.0042     14526.     1.0000
 0     0      14498.     1.0030     14541.     1.0000
 0     0      14505.     1.0014     14526.     1.0000
 0     0      14517.     0.9996     14512.     1.0000
 0     0      14539.     0.9982     14512.     1.0000
 0     0      14561.     0.9976     14526.     1.0000
 0     0      14582.     0.9961     14526.     1.0000
 0     0      14591.     0.9955     14526.     1.0000
 0     0      14607.     0.9945     14526.     1.0000
 0     0      14628.     0.9940     14541.     1.0000
 0     0      14648.     0.9936     14555.     1.0000
 0     0      14671.     0.9931     14570.     1.0000
 0     0      14689.     0.9929     14584.     1.0000
 0     0      14705.     0.9928     14599.     1.0000
 0     0      14729.     0.9932     14628.     1.0000
 0     0      14747.     0.9929     14643.     1.0000
 0     0      14762.     0.9929     14657.     1.0000
 0     0      14776.     0.9930     14672.     1.0000
 0     0      14807.     0.9929     14701.     1.0000
 0     0      14820.     0.9930     14716.     1.0000
 0     0      14830.     0.9933     14731.     1.0000
 0     0      14840.     0.9937     14746.     1.0000
 0     0      14841.     0.9946     14760.     1.0000
 0     0      14841.     0.9962     14785.     1.0000
 0     0      14845.     0.9983     14819.     1.0000
 0     0      14853.     1.0008     14864.     1.0000
 0     0      14851.     1.0019     14879.     1.0000
 0     0      14855.     1.0026     14894.     1.0000
 0     0      14861.     1.0031     14908.     1.0000
 0     0      14859.     1.0043     14923.     1.0000
 0     0      14858.     1.0043     14923.     1.0000
 0     0      14860.     1.0052     14938.     1.0000
 0     0      14864.     1.0050     14938.     1.0000
 0     0      14864.     1.0050     14938.     1.0000
 0     0      14878.     1.0050     14953.     1.0000
 0     0      14881.     1.0048     14953.     1.0000
 0     0      14883.     1.0047     14953.     1.0000
 0     0      14899.     1.0046     14968.     1.0000
 0     0      14918.     1.0044     14983.     1.0000
 0     0      14930.     1.0046     14998.     1.0000
 0     0      14957.     1.0047     15028.     1.0000
 0     0      14970.     1.0048     15043.     1.0000
 0     0      14988.     1.0047     15058.     1.0000
 0     0      15002.     1.0047     15073.     1.0000
 0     0      15008.     1.0043     15073.     1.0000
 0     0      15024.     1.0042     15088.     1.0000
 0     0      15049.     1.0036     15103.     1.0000
 0     0      15077.     1.0028     15119.     1.0000
 0     0      15091.     1.0028     15134.     1.0000
 0     0      15120.     1.0019     15149.     1.0000
 0     0      15144.     1.0043     15209.     1.0000
 0     0      15154.     1.0047     15225.     1.0000
 0     0      15173.     1.0044     15240.     1.0000
 0     0      15187.     1.0035     15240.     1.0000
 0     0      15195.     1.0020     15225.     1.0000
 0     0      15205.     1.0002     15209.     1.0000
 0     0      15214.     0.9987     15194.     1.0000
 0     0      15223.     0.9981     15194.     1.0000
 0     0      15212.     0.9968     15164.     1.0000
 0     0      15211.     0.9959     15149.     1.0000
 0     0      15226.     0.9950     15149.     1.0000
 0     0      15235.     0.9943     15149.     1.0000
 0     0      15240.     0.9940     15149.     1.0000
 0     0      15248.     0.9935     15149.     1.0000
 0     0      15252.     0.9933     15149.     1.0000
 0     0      15255.     0.9930     15149.     1.0000
 0     0      15264.     0.9934     15164.     1.0000
 0     0      15268.     0.9932     15164.     1.0000
 0     0      15269.     0.9931     15164.     1.0000
 0     0      15282.     0.9933     15179.     1.0000
 0     0      15284.     0.9931     15179.     1.0000
 0     0      15297.     0.9933     15194.     1.0000
 0     0      15307.     0.9936     15209.     1.0000
 0     0      15316.     0.9941     15225.     1.0000
 0     0      15321.     0.9947     15240.     1.0000
 0     0      15312.     0.9963     15255.     1.0000
 0     0      15306.     0.9982     15278.     1.0000
 0     0      15296.     1.0008     15308.     1.0000
 0     0      15296.     1.0018     15324.     1.0000
 0     0      15299.     1.0026     15339.     1.0000
 0     0      15295.     1.0029     15339.     1.0000
 0     0      15295.     1.0038     15354.     1.0000
 0     0      15310.     1.0039     15370.     1.0000
 0     0      15314.     1.0046     15385.     1.0000
 0     0      15317.     1.0045     15385.     1.0000
 0     0      15334.     1.0044     15401.     1.0000
 0     0      15347.     1.0045     15416.     1.0000
 0     0      15364.     1.0043     15431.     1.0000
 0     0      15382.     1.0043     15447.     1.0000
 0     0      15399.     1.0041     15462.     1.0000
 0     0      15418.     1.0039     15478.     1.0000
 0     0      15431.     1.0040     15493.     1.0000
 0     0      15443.     1.0043     15509.     1.0000
 0     0      15457.     1.0044     15524.     1.0000
 0     0      15473.     1.0043     15540.     1.0000
 0     0      15487.     1.0044     15555.     1.0000
 0     0      15508.     1.0041     15571.     1.0000
 0     0      15522.     1.0041     15586.     1.0000
 0     0      15547.     1.0035     15602.     1.0000
 0     0      15559.     1.0027     15602.     1.0000
 0     0      15576.     1.0027     15618.     1.0000
 0     0      15603.     1.0019     15633.     1.0000
 0     0      15605.     1.0038     15664.     1.0000
 0     0      15622.     1.0047     15696.     1.0000
 0     0      15643.     1.0043     15711.     1.0000
 0     0      15655.     1.0036     15711.     1.0000
 0     0      15677.     1.0021     15711.     1.0000
 0     0      15704.     1.0005     15711.     1.0000
 0     0      15728.     0.9989     15711.     1.0000
 0     0      15754.     0.9983     15727.     1.0000
 0     0      15787.     0.9972     15743.     1.0000
 0     0      15804.     0.9961     15743.     1.0000
 0     0      15819.     0.9952     15743.     1.0000
 0     0      15831.     0.9944     15743.     1.0000
 0     0      15851.     0.9942     15759.     1.0000
 0     0      15875.     0.9936     15774.     1.0000
 0     0      15895.     0.9934     15790.     1.0000
 0     0      15916.     0.9931     15806.     1.0000
 0     0      15926.     0.9935     15822.     1.0000
 0     0      15945.     0.9933     15838.     1.0000
 0     0      15963.     0.9931     15853.     1.0000
 0     0      15991.     0.9934     15885.     1.0000
 0     0      16009.     0.9933     15901.     1.0000
 0     0      16024.     0.9933     15917.     1.0000
 0     0      16050.     0.9937     15949.     1.0000
 0     0      16074.     0.9942     15981.     1.0000
